directories in the tree            : 407
directories carrying at least one file : 324
directories carrying none          : 83
files                              : 9641
bytes                              : 2925489709

  directory                                             files          bytes       share
  dlc/BaseResource/img/titles1                              2        2560332     0.0875 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/audio/se     78        2459384     0.0841 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/audio/se     76        2444234     0.0835 %
  nwjs-win/swiftshader                                      2        2348032     0.0803 %
  nwjs-win-test/swiftshader                                 2        2348032     0.0803 %
  dlc/BaseResource/img/faces                                5        1841125     0.0629 %
  Generator/SV/Male                                       296        1828506     0.0625 %
  Generator/SV/Female                                     236        1770631     0.0605 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/faces      5        1754884     0.0600 %
  Help/page                                               136        1703958     0.0582 %
  tutorial-osx/TutorialGui.app/Contents/PlugIns/platforms      1        1673856     0.0572 %
  imageformats                                             12        1656320     0.0566 %
  tutorial-win/imageformats                                12        1656320     0.0566 %
  Generator/Face/Male                                     317        1609877     0.0550 %
  dlc/RPGmakerWeb_plugins/Yanfly                           31        1600610     0.0547 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/fonts       2        1542014     0.0527 %
  dlc/parallax_Resource_Pack/sample_project/fonts           2        1542014     0.0527 %
  NewData/fonts                                             2        1542004     0.0527 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/fonts        2        1541848     0.0527 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/fonts      2        1541848     0.0527 %
  Generator/Face/Female                                   287        1487781     0.0509 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/enemies     11        1467604     0.0502 %
  tutorial-osx/TutorialGui.app/Contents/PlugIns/imageformats      9        1454736     0.0497 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/js/libs      6        1420469     0.0486 %
  dlc/parallax_Resource_Pack/sample_project/js/libs         6        1420469     0.0486 %
  dlc/parallax_Resource_Pack/sample_project/img/faces       4        1416732     0.0484 %
  NewData/js/libs                                           6        1378836     0.0471 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtNetwork.framework/Versions/5      1        1337184     0.0457 %
  dlc/RPG Maker Freebies/Marimo/MV Style                    8        1321840     0.0452 %
  dlc/DarkFantasyCharacterPack/img/pictures                 8        1319819     0.0451 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/data       22        1288029     0.0440 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/characters     11        1250289     0.0427 %
  dlc/DarkFantasyCharacterPack/img/sv_actors               32        1113054     0.0380 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/faces      3        1110924     0.0380 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/faces      3        1110924     0.0380 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/titles1      1        1049553     0.0359 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/titles1      1        1049553     0.0359 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/js          8         978830     0.0335 %
  dlc/parallax_Resource_Pack/sample_project/js              8         961527     0.0329 %
  NewData/js                                                8         944545     0.0323 %
  dlc/BaseResource/img/characters                          18         930804     0.0318 %
  platforms                                                 1         894976     0.0306 %
  tutorial-win/platforms                                    1         894976     0.0306 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/js           8         880928     0.0301 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/js      8         880752     0.0301 %
  QtQuick/Controls                                          3         876155     0.0299 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/parallaxes      1         873563     0.0299 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/enemies      9         827649     0.0283 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/sv_enemies      9         813224     0.0278 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/gacha      5         812901     0.0278 %
  plugins/qtwebengine                                       1         772096     0.0264 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/data        15         709172     0.0242 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Characters     16         693058     0.0237 %
  dlc/KadokawaPlugins_New/additional/img/animations         6         683423     0.0234 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/data     15         675015     0.0231 %
  NewData/data                                             15         669051     0.0229 %
  dlc/parallax_Resource_Pack/sample_project/img/characters      7         661218     0.0226 %
  NewData/img/system                                       14         640861     0.0219 %
  dlc/parallax_Resource_Pack/sample_project/img/system     14         640806     0.0219 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/system     13         618252     0.0211 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/system     13         618252     0.0211 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/system     13         618252     0.0211 %
  dlc/RPG Maker Freebies/Marimo/VXA Style                   8         596956     0.0204 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/animations      1         593313     0.0203 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/js/libs      3         592652     0.0203 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/js/libs      3         592652     0.0203 %
  NewData/img/sv_actors                                    20         576452     0.0197 %
  dlc/Modern_Generator/parts/Generator/SV/Female           76         571614     0.0195 %
  dlc/parallax_Resource_Pack/sample_project/img/enemies      6         549182     0.0188 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Plugins/Archeia_Steamworks/js/libs      3         545836     0.0187 %
  dlc/parallax_Resource_Pack/sample_project/img/sv_enemies      6         536760     0.0183 %
  NewData/img/titles2                                       2         534117     0.0183 %
