binaries with a COFF TimeDateStamp : 102

  file                                                bytes      stamp as a time (UTC)      T1 T2 T3
  nwjs-win-test/libEGL.dll                            78848 1516449813 2018-01-20 12:03:33  .  .  .
  qmltooling/qmldbg_qtquick2.dll                      60416 1433038193 2015-05-31 02:09:53  .  .  .
  QtQuick/Layouts/qquicklayoutsplugin.dll             55296 1433038290 2015-05-31 02:11:30  .  .  .
  Qt/labs/folderlistmod...derlistmodelplugin.dll      42496 1433038202 2015-05-31 02:10:02  .  .  .
  bearer/qnativewifibearer.dll                        39936 1433037700 2015-05-31 02:01:40  .  .  .
  tutorial-win/bearer/qnativewifibearer.dll           39936 1433037700 2015-05-31 02:01:40  .  .  .
  imageformats/qdds.dll                               38400 1433037846 2015-05-31 02:04:06  .  .  .
  tutorial-win/imageformats/qdds.dll                  38400 1433037846 2015-05-31 02:04:06  .  .  .
  bearer/qgenericbearer.dll                           37888 1433037691 2015-05-31 02:01:31  .  .  .
  tutorial-win/bearer/qgenericbearer.dll              37888 1433037691 2015-05-31 02:01:31  .  .  .
  QtQuick/Dialogs/Priva...alogsprivateplugin.dll      35328 1433038278 2015-05-31 02:11:18  .  .  .
  imageformats/qicns.dll                              31232 1433037851 2015-05-31 02:04:11  .  Y  .
  tutorial-win/imageformats/qicns.dll                 31232 1433037851 2015-05-31 02:04:11  .  Y  .
  iconengines/qsvgicon.dll                            29184 1433037769 2015-05-31 02:02:49  .  .  .
  QtWebEngine/experimen...experimentalplugin.dll      29184 1433047333 2015-05-31 04:42:13  .  .  .
  tutorial-win/iconengines/qsvgicon.dll               29184 1433037769 2015-05-31 02:02:49  .  .  .
  qmltooling/qmldbg_tcp.dll                           26624 1433038185 2015-05-31 02:09:45  .  .  .
  imageformats/qgif.dll                               24576 1433037701 2015-05-31 02:01:41  .  .  .
  imageformats/qico.dll                               24576 1433037701 2015-05-31 02:01:41  .  .  .
  tutorial-win/imageformats/qgif.dll                  24576 1433037701 2015-05-31 02:01:41  .  .  .
  tutorial-win/imageformats/qico.dll                  24576 1433037701 2015-05-31 02:01:41  .  .  .
  QtWebEngine/qtwebengineplugin.dll                   23040 1433047328 2015-05-31 04:42:08  .  .  .
  Qt/labs/settings/qmlsettingsplugin.dll              21504 1433038206 2015-05-31 02:10:06  .  Y  .
  imageformats/qsvg.dll                               18432 1433037780 2015-05-31 02:03:00  .  .  .
  QtWebView/declarative_webview.dll                   18432 1430908398 2015-05-06 10:33:18  .  .  .
  tutorial-win/imageformats/qsvg.dll                  18432 1433037780 2015-05-31 02:03:00  .  .  .
  imageformats/qtga.dll                               17920 1433037851 2015-05-31 02:04:11  .  Y  .
  imageformats/qwbmp.dll                              17920 1433037867 2015-05-31 02:04:27  .  .  .
  tutorial-win/imageformats/qtga.dll                  17920 1433037851 2015-05-31 02:04:11  .  Y  .
  tutorial-win/imageformats/qwbmp.dll                 17920 1433037867 2015-05-31 02:04:27  .  .  .
  Qt5WebView.dll                                      15872 1430908390 2015-05-06 10:33:10  .  .  .
  QtQuick/Window.2/windowplugin.dll                   12288 1433038215 2015-05-31 02:10:15  .  .  .
  QtQuick.2/qtquick2plugin.dll                        12288 1433038206 2015-05-31 02:10:06  .  Y  .
  QtWebEngineProcess.exe                              11264 1433047326 2015-05-31 04:42:06  .  .  .

  T1 IMPOSSIBLE (mtime precedes link time)      : 2 of 102
  T2 COLLIDING  (a stamp shared across sizes)   : 6 of 102
  T3 ROUND      (a round binary quantity)       : 0 of 102
  FALSE by at least one test                    : 8 of 102
  the same, counted by DISTINCT BINARY not by file : 5 of 78


-- and what the tests do NOT say ------------------------------
  A stamp that passes all three is not thereby true. These tests
  catch three ways of being obviously false and no way of being
  quietly false, and a linker that writes a plausible wrong date
  defeats all of them.
